"file","replicate","experiment","fraction"
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B4-170501-I-repeat_B4_01_6104.d","rep3","B04",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B5-170501_Slot2-17_01_517.d","rep3","B05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B5-170501-I-repeat_B5_01_6103.d","rep3","B05",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B6-170501_Slot2-18_01_518.d","rep3","B06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B6-170501-I-repeat_B6_01_6102.d","rep3","B06",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B7-170501_Slot2-19_01_519.d","rep3","B07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B7-170501-I-repeat_B7_01_6100.d","rep3","B07",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B8-170501_Slot2-20_01_521.d","rep3","B08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B8-170501-I-repeat_B8_01_6099.d","rep3","B08",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B9-170501_Slot2-21_01_523.d","rep3","B09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B9-170501-I-repeat_B9_01_6098.d","rep3","B09",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B10-170501-I-repeat_B10_01_6096.d","rep3","B10",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B11-170501-I_B11_01_6095.d","rep3","B11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B12-170501-I-repeat_B12_01_6097.d","rep3","B12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C1-170501-I_C1_01_6047.d","rep3","C01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C2-170501-I_C2_01_6048.d","rep3","C02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C3-170501-I_C3_01_6049.d","rep3","C03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C4-170501-I_C4_01_6050.d","rep3","C04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C5-170501-I_C5_01_6051.d","rep3","C05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C6-170501-I_C6_01_6052.d","rep3","C06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C07-170501-I_C7_01_6053.d","rep3","C07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C08-170501-I_C8_01_6054.d","rep3","C08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C09-170501-I_C9_01_6059.d","rep3","C09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C10-170501-I_C10_01_6060.d","rep3","C10",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C11-170501-I_C11_01_6061.d","rep3","C11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-C12-170501-I_C12_01_6062.d","rep3","C12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D01-170501-I_D1_01_6063.d","rep3","D01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D02-170501-I_D2_01_6064.d","rep3","D02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D03-170501-I_D3_01_6065.d","rep3","D03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D04-170501-I_D4_01_6066.d","rep3","D04",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D05-170501-I_D5_01_6068.d","rep3","D05",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D06-170501-I_D6_01_6069.d","rep3","D06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D07-170501-I_D7_01_6070.d","rep3","D07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D08-170501-I_D8_01_6071.d","rep3","D08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D09-170501-I_D9_01_6072.d","rep3","D09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D10-170501-I_D10_01_6073.d","rep3","D10",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-D11-170501-I_D11_01_6074.d","rep3","D11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-170615-D08_F8_01_7397.d","rep4","D08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-170615-D09_F9_01_7398.d","rep4","D09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-170615-D10_F10_01_7399.d","rep4","D10",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-170615-D11_F11_01_7400.d","rep4","D11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-170615-D12_F12_01_7401.d","rep4","D12",1
